WM_YR_WK,DC,CHAMBER,DEPT,NumPacks,Inbound_Outbound,Actual_Forecast,WalmartYear,WalmartWeek,TypeYearLabel,Curr_YR,Curr_WK,NetworkCapacity,RefreshDate
11636,6091,FDD,90,179657,Inbound,Forecast,2016,36,Forecast_2016,2016,28,98419636,17-Aug-16
11636,6084,FDD,90,186082,Inbound,Forecast,2016,36,Forecast_2016,2016,28,98419636,17-Aug-16
11636,6085,FDD,90,240104,Inbound,Forecast,2016,36,Forecast_2016,2016,28,98419636,17-Aug-16
11636,6090,FDD,90,242496,Inbound,Forecast,2016,36,Forecast_2016,2016,28,98419636,17-Aug-16
11636,6077,FDD,90,240328,Inbound,Forecast,2016,36,Forecast_2016,2016,28,98419636,17-Aug-16
11636,6073,FDD,90,248448,Inbound,Forecast,2016,36,Forecast_2016,2016,28,98419636,17-Aug-16
11636,6072,FDD,90,189408,Inbound,Forecast,2016,36,Forecast_2016,2016,28,98419636,17-Aug-16
11636,6065,FDD,90,183951,Inbound,Forecast,2016,36,Forecast_2016,2016,28,98419636,17-Aug-16
11636,6059,FDD,90,121237,Inbound,Forecast,2016,36,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7084,FDD,90,337218,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7077,FDD,90,234230,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11636,6071,FDD,90,294634,Inbound,Forecast,2016,36,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7079,FDD,90,146495,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11637,6059,FDD,90,156079,Inbound,Forecast,2016,37,Forecast_2016,2016,28,98419636,17-Aug-16
11637,6055,FDD,90,201313,Inbound,Forecast,2016,37,Forecast_2016,2016,28,98419636,17-Aug-16
11636,7084,FDD,90,307490,Inbound,Forecast,2016,36,Forecast_2016,2016,28,98419636,17-Aug-16
11637,6057,FDD,90,154762,Inbound,Forecast,2016,37,Forecast_2016,2016,28,98419636,17-Aug-16
11636,6064,FDD,90,233454,Inbound,Forecast,2016,36,Forecast_2016,2016,28,98419636,17-Aug-16
